article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
37417572,MR. WRAGGE'S VIEW. To the Editor.,101,"Western Mail (Perth, WA : 1885 - 1954)",17,1912-04-13,Article,65,N,0,http://nla.gov.au/nla.news-article37417572,http://trove.nla.gov.au/newspaper/page/3465331
206525683,CLEMENT WRAGGE.,975,"The Evening Star (Boulder, WA : 1898 - 1921)",3,1912-04-11,Article,73,N,0,http://nla.gov.au/nla.news-article206525683,http://trove.nla.gov.au/newspaper/page/22594612
239161747,TO THE EDITOR.,1297,"The Daily Telegraph (Sydney, NSW : 1883 - 1930)",9,1912-04-01,Article,72,N,0,http://nla.gov.au/nla.news-article239161747,http://trove.nla.gov.au/newspaper/page/25754533
69557640,WEATHER FORECASTING. EXPERTS SCEPTICAL OF MR WRAGGE.,204,Wodonga and Towong Sentinel (Vic. : 1885 - 1954),3,1912-04-05,Article,226,N,0,http://nla.gov.au/nla.news-article69557640,http://trove.nla.gov.au/newspaper/page/6352261
5334948,"WESTERN AUSTRALIA. PERTH, April 9.",34,"The Advertiser (Adelaide, SA : 1889 - 1931)",8,1912-04-10,Article,56,N,0,http://nla.gov.au/nla.news-article5334948,http://trove.nla.gov.au/newspaper/page/950905
62270302,CORRESPONDENCE. CYCLONE WARNINGS. (To the Editor.),97,Townsville Daily Bulletin (Qld. : 1907 - 1954),2,1918-03-29,Article,27,N,0,http://nla.gov.au/nla.news-article62270302,http://trove.nla.gov.au/newspaper/page/5591031
152428153,CORRESPONDENCE WEATHER FORECASTING. TO THE EDITOR,742,"Daily Telegraph (Launceston, Tas. : 1883 - 1928)",3,1912-04-02,Article,28,N,0,http://nla.gov.au/nla.news-article152428153,http://trove.nla.gov.au/newspaper/page/18390523
58834094,THE NORTH-WEST CYCLONE. (To the Editor.),97,Townsville Daily Bulletin (Qld. : 1907 - 1954),4,1912-04-08,Article,72,N,0,http://nla.gov.au/nla.news-article58834094,http://trove.nla.gov.au/newspaper/page/4946697
39906379,The Lost Koombana What Wragge Says (By Telegraph.),61,Cairns Post (Qld. : 1909 - 1954),5,1912-04-11,Article,130,N,0,http://nla.gov.au/nla.news-article39906379,http://trove.nla.gov.au/newspaper/page/3885708
74893102,"FOR RELIEF OF RELATIVES. Perth, April 9.",254,"Northern Times (Carnarvon, WA : 1905 - 1954)",2,1912-04-13,Article,141,N,0,http://nla.gov.au/nla.news-article74893102,http://trove.nla.gov.au/newspaper/page/7354568
64155580,GENERAL NOTES.,131,"The Broadford Courier (Broadford, Vic. : 1916 - 1920)",3,1918-01-25,Article,325,N,1,http://nla.gov.au/nla.news-article64155580,http://trove.nla.gov.au/newspaper/page/6188154
189212979,"MR. WRAGGE CRITICISED. MELBOURNE, February 8.",839,Gympie Times and Mary River Mining Gazette (Qld. : 1868 - 1919),3,1912-02-15,Article,386,N,0,http://nla.gov.au/nla.news-article189212979,http://trove.nla.gov.au/newspaper/page/20157903
211368413,LUNA VERSUS SOL.,1117,Geraldton Express (WA : 1906 - 1919),2,1912-04-17,Article,435,N,0,http://nla.gov.au/nla.news-article211368413,http://trove.nla.gov.au/newspaper/page/23111454
221554168,"CYCLONE WARNINGS. DANGERS TO SHIPPING. ""SOMETHING WILL HAVE TO BE DONE."" BRISBANE, Tuesday.",1180,"The Sun (Sydney, NSW : 1910 - 1954)",1,1914-01-20,Article,164,N,0,http://nla.gov.au/nla.news-article221554168,http://trove.nla.gov.au/newspaper/page/24455440
114803486,Weather Forecasting. EXPERTS SCEPTICAL OF MR. WRAGGE.,508,"Evening News (Sydney, NSW : 1869 - 1931)",8,1912-04-01,Article,229,N,0,http://nla.gov.au/nla.news-article114803486,http://trove.nla.gov.au/newspaper/page/12331424
149560961,"The Loss of the Koombana. MR. WRAGGE,S VIEW. TO THE EDITOR",740,Toodyay Herald (WA : 1912 - 1954),3,1912-04-13,Article,228,N,0,http://nla.gov.au/nla.news-article149560961,http://trove.nla.gov.au/newspaper/page/18246880
125297456,TOPICS OF THE DAY. MR. CLEMENT WRAGGE'S DISCOVERY.,492,The Maitland Daily Mercury (NSW : 1894 - 1939),2,1910-04-05,Article,439,N,0,http://nla.gov.au/nla.news-article125297456,http://trove.nla.gov.au/newspaper/page/12774563
82186319,WRAGGE CRITICISED ON HIS PREDICTIONS.,259,Warwick Examiner and Times (Qld. : 1867 - 1919),3,1912-02-14,Article,380,N,0,http://nla.gov.au/nla.news-article82186319,http://trove.nla.gov.au/newspaper/page/8247498
190915849,Mr. Clement Wragge AN OFFER FROM QUEENSLAND.,1007,"Tweed Daily (Murwillumbah, NSW : 1914 - 1949)",3,1914-05-28,Article,448,N,0,http://nla.gov.au/nla.news-article190915849,http://trove.nla.gov.au/newspaper/page/21455436
72922802,OTHER TOWNS DAMAGED.,225,The Horsham Times (Vic. : 1882 - 1954),2,1918-03-15,Article,141,N,0,http://nla.gov.au/nla.news-article72922802,http://trove.nla.gov.au/newspaper/page/7092584
152228959,NOTES AND NEWS THE SUN SPOTS.,742,"Daily Telegraph (Launceston, Tas. : 1883 - 1928)",4,1910-05-23,Article,120,N,0,http://nla.gov.au/nla.news-article152228959,http://trove.nla.gov.au/newspaper/page/18415008
115425367,MR.WRAGGE'S VISIT TO GRENFELL.,474,The Grenfell Record and Lachlan District Advertiser (NSW : 1876 - 1951),2,1912-02-09,Article,573,N,0,http://nla.gov.au/nla.news-article115425367,http://trove.nla.gov.au/newspaper/page/12557397
142923452,NEW ZEALAND NOTES. LORD KITCHENER'S REPORT.,460,"The Australasian (Melbourne, Vic. : 1864 - 1946)",56,1910-04-02,Article,1765,N,0,http://nla.gov.au/nla.news-article142923452,http://trove.nla.gov.au/newspaper/page/15068943
84263925,Queensland Cyclone. DEMOLISHED TOWN OP INNIS-FAIL. 15 PERSONS KILLED.,270,Zeehan and Dundas Herald (Tas. : 1890 - 1922),2,1918-03-16,Article,415,N,0,http://nla.gov.au/nla.news-article84263925,http://trove.nla.gov.au/newspaper/page/8354088
